datatype,dimension,bitwidth_per_element,seed,optimized_code,ordered_scalars
optimized_4,4,4,51,"[1.0, 2.212120993043991, 3.623964805262131, 5.232093510547078, 7.252783260040765, 9.502560598041743, 11.708153061634853]","[-11.708153061634853, -9.502560598041743, -7.252783260040765, -5.232093510547078, -3.623964805262131, -2.212120993043991, -1.0, 0.0, 1.0, 2.212120993043991, 3.623964805262131, 5.232093510547078, 7.252783260040765, 9.502560598041743, 11.708153061634853]"
optimized_4,8,4,51,"[1.0, 2.2588543506268524, 3.655990277992317, 5.427185954337089, 7.536956207975247, 10.540384453075122, 12.987846309579236]","[-12.987846309579236, -10.540384453075122, -7.536956207975247, -5.427185954337089, -3.655990277992317, -2.2588543506268524, -1.0, 0.0, 1.0, 2.2588543506268524, 3.655990277992317, 5.427185954337089, 7.536956207975247, 10.540384453075122, 12.987846309579236]"
optimized_4,16,4,51,"[1.0, 2.120590727327727, 3.4016043148299895, 5.036433057166623, 7.247316490158737, 10.464620747028624, 13.177896085445193]","[-13.177896085445193, -10.464620747028624, -7.247316490158737, -5.036433057166623, -3.4016043148299895, -2.120590727327727, -1.0, 0.0, 1.0, 2.120590727327727, 3.4016043148299895, 5.036433057166623, 7.247316490158737, 10.464620747028624, 13.177896085445193]"
optimized_4,32,4,51,"[1.0, 2.413998351753097, 3.864551015315413, 5.566691764307082, 7.781341157715676, 10.690815563937418, 15.56850210645105]","[-15.56850210645105, -10.690815563937418, -7.781341157715676, -5.566691764307082, -3.864551015315413, -2.413998351753097, -1.0, 0.0, 1.0, 2.413998351753097, 3.864551015315413, 5.566691764307082, 7.781341157715676, 10.690815563937418, 15.56850210645105]"
optimized_4,64,4,51,"[1.0, 1.9382554131789684, 3.24930870894042, 4.824718152615432, 6.901118929934306, 9.859838094555236, 14.938603557265111]","[-14.938603557265111, -9.859838094555236, -6.901118929934306, -4.824718152615432, -3.24930870894042, -1.9382554131789684, -1.0, 0.0, 1.0, 1.9382554131789684, 3.24930870894042, 4.824718152615432, 6.901118929934306, 9.859838094555236, 14.938603557265111]"
