datatype,values
optimized_4,[1.0, 2.120590727327727, 3.4016043148299895, 5.036433057166623, 7.247316490158737, 10.464620747028624, 13.177896085445193]
int4, [1, 2, 3, 4, 5, 6, 7]
fp4_e2m1, [0.5, 1, 1.5, 2, 3, 4, 6]
fp4_e1m2, [0.5, 1, 1.5, 2, 2.5, 3, 3.5]
fp4_e3m0, [1.0, 2.0, 4.0, 8.0, 16.0, 32.0, 64.0]
